Owner,Seasons_Played,Total_Games,Total_Wins,Total_Losses,Total_Ties,Win_Percentage,Average_Rank,Championships,Finals,Playoffs
Jeremy,9,171,107,63,1,0.626,4.4,1,3,5
Unknown,87,1659,801,845,13,0.483,6.0,8,15,31
